timestamp,pub_timestamp,defer_failsafes_timeout_s,publisher_id,disable_auto_disarm,defer_failsafes,source_type,source_id
1771685615968000,1771685615968000,0,93,0,0,0,0
1771685615980000,1771685615980000,0,93,0,0,0,0
1771685615992000,1771685615992000,0,93,0,0,0,0
1771685616004000,1771685616004000,0,93,0,0,0,0
1771685616016000,1771685616016000,0,93,0,0,0,0
1771685616028000,1771685616028000,0,93,0,0,0,0
1771685616040000,1771685616040000,0,93,0,0,0,0
1771685616052000,1771685616052000,0,93,0,0,0,0
1771685616064000,1771685616064000,0,93,0,0,0,0
1771685616076000,1771685616076000,0,93,0,0,0,0
1771685616088000,1771685616088000,0,93,0,0,0,0
1771685616100000,1771685616100000,0,93,0,0,0,0
1771685616112000,1771685616112000,0,93,0,0,0,0
1771685616124000,1771685616124000,0,93,0,0,0,0
1771685616136000,1771685616136000,0,93,0,0,0,0
1771685616148000,1771685616148000,0,93,0,0,0,0
1771685616160000,1771685616160000,0,93,0,0,0,0
1771685616172000,1771685616172000,0,93,0,0,0,0
1771685616184000,1771685616184000,0,93,0,0,0,0
1771685616196000,1771685616196000,0,93,0,0,0,0
1771685616208000,1771685616208000,0,93,0,0,0,0
1771685616220000,1771685616220000,0,93,0,0,0,0
1771685616232000,1771685616232000,0,93,0,0,0,0
1771685616244000,1771685616244000,0,93,0,0,0,0
1771685616256000,1771685616256000,0,93,0,0,0,0
1771685616268000,1771685616268000,0,93,0,0,0,0
1771685616280000,1771685616280000,0,93,0,0,0,0
1771685616292000,1771685616292000,0,93,0,0,0,0
1771685616304000,1771685616304000,0,93,0,0,0,0
1771685616316000,1771685616316000,0,93,0,0,0,0
1771685616328000,1771685616328000,0,93,0,0,0,0
1771685616340000,1771685616340000,0,93,0,0,0,0
1771685616352000,1771685616352000,0,93,0,0,0,0
1771685616364000,1771685616364000,0,93,0,0,0,0
1771685616376000,1771685616376000,0,93,0,0,0,0
1771685616388000,1771685616388000,0,93,0,0,0,0
1771685616400000,1771685616400000,0,93,0,0,0,0
1771685616412000,1771685616412000,0,93,0,0,0,0
1771685616424000,1771685616424000,0,93,0,0,0,0
1771685616436000,1771685616436000,0,93,0,0,0,0
1771685616448000,1771685616448000,0,93,0,0,0,0
1771685616460000,1771685616460000,0,93,0,0,0,0
1771685616472000,1771685616472000,0,93,0,0,0,0
1771685616484000,1771685616484000,0,93,0,0,0,0
1771685616496000,1771685616496000,0,93,0,0,0,0
1771685616508000,1771685616508000,0,93,0,0,0,0
1771685616520000,1771685616520000,0,93,0,0,0,0
1771685616532000,1771685616532000,0,93,0,0,0,0
1771685616544000,1771685616544000,0,93,0,0,0,0
1771685616556000,1771685616556000,0,93,0,0,0,0
1771685616568000,1771685616568000,0,93,0,0,0,0
1771685616580000,1771685616580000,0,93,0,0,0,0
1771685616592000,1771685616592000,0,93,0,0,0,0
1771685616604000,1771685616604000,0,93,0,0,0,0
1771685616616000,1771685616616000,0,93,0,0,0,0
1771685616628000,1771685616628000,0,93,0,0,0,0
1771685616640000,1771685616640000,0,93,0,0,0,0
1771685616652000,1771685616652000,0,93,0,0,0,0
1771685616664000,1771685616664000,0,93,0,0,0,0
1771685616676000,1771685616676000,0,93,0,0,0,0
1771685616688000,1771685616688000,0,93,0,0,0,0
1771685616700000,1771685616700000,0,93,0,0,0,0
1771685616712000,1771685616712000,0,93,0,0,0,0
1771685616724000,1771685616724000,0,93,0,0,0,0
1771685616736000,1771685616736000,0,93,0,0,0,0
1771685616748000,1771685616748000,0,93,0,0,0,0
1771685616760000,1771685616760000,0,93,0,0,0,0
1771685616772000,1771685616772000,0,93,0,0,0,0
1771685616784000,1771685616784000,0,93,0,0,0,0
1771685616796000,1771685616796000,0,93,0,0,0,0
1771685616808000,1771685616808000,0,93,0,0,0,0
1771685616820000,1771685616820000,0,93,0,0,0,0
1771685616832000,1771685616832000,0,93,0,0,0,0
1771685616844000,1771685616844000,0,93,0,0,0,0
1771685616856000,1771685616856000,0,93,0,0,0,0
1771685616868000,1771685616868000,0,93,0,0,0,0
1771685616880000,1771685616880000,0,93,0,0,0,0
1771685616892000,1771685616892000,0,93,0,0,0,0
1771685616904000,1771685616904000,0,93,0,0,0,0
1771685616916000,1771685616916000,0,93,0,0,0,0
1771685616928000,1771685616928000,0,93,0,0,0,0
1771685616940000,1771685616940000,0,93,0,0,0,0
1771685616952000,1771685616952000,0,93,0,0,0,0
1771685616964000,1771685616964000,0,93,0,0,0,0
1771685616976000,1771685616976000,0,93,0,0,0,0
1771685616988000,1771685616988000,0,93,0,0,0,0
1771685617000000,1771685617000000,0,93,0,0,0,0
1771685617012000,1771685617012000,0,93,0,0,0,0
1771685617024000,1771685617024000,0,93,0,0,0,0
1771685617036000,1771685617036000,0,93,0,0,0,0
1771685617048000,1771685617048000,0,93,0,0,0,0
1771685617060000,1771685617060000,0,93,0,0,0,0
1771685617072000,1771685617072000,0,93,0,0,0,0
1771685617084000,1771685617084000,0,93,0,0,0,0
1771685617096000,1771685617096000,0,93,0,0,0,0
1771685617108000,1771685617108000,0,93,0,0,0,0
1771685617120000,1771685617120000,0,93,0,0,0,0
1771685617132000,1771685617132000,0,93,0,0,0,0
1771685617144000,1771685617144000,0,93,0,0,0,0
1771685617156000,1771685617156000,0,93,0,0,0,0
1771685617168000,1771685617168000,0,93,0,0,0,0
1771685617180000,1771685617180000,0,93,0,0,0,0
1771685617192000,1771685617192000,0,93,0,0,0,0
1771685617204000,1771685617204000,0,93,0,0,0,0
1771685617216000,1771685617216000,0,93,0,0,0,0
1771685617228000,1771685617228000,0,93,0,0,0,0
1771685617240000,1771685617240000,0,93,0,0,0,0
1771685617252000,1771685617252000,0,93,0,0,0,0
1771685617264000,1771685617264000,0,93,0,0,0,0
1771685617276000,1771685617276000,0,93,0,0,0,0
1771685617288000,1771685617288000,0,93,0,0,0,0
1771685617300000,1771685617300000,0,93,0,0,0,0
1771685617312000,1771685617312000,0,93,0,0,0,0
1771685617324000,1771685617324000,0,93,0,0,0,0
1771685617336000,1771685617336000,0,93,0,0,0,0
1771685617348000,1771685617348000,0,93,0,0,0,0
1771685617360000,1771685617360000,0,93,0,0,0,0
1771685617372000,1771685617372000,0,93,0,0,0,0
1771685617384000,1771685617384000,0,93,0,0,0,0
