timestamp,timestamp_sample,pub_timestamp,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,publisher_id,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err,check_fail_spoofed_gps
1771685130724000,1771685130566000,1771685130724000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685130772000,1771685130618000,1771685130772000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685130828000,1771685130670000,1771685130828000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685130876000,1771685130722000,1771685130876000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685130932000,1771685130774000,1771685130932000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685130980000,1771685130826000,1771685130980000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685131036000,1771685130878000,1771685131036000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685131084000,1771685130930000,1771685131084000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685131140000,1771685130982000,1771685131140000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685131188000,1771685131034000,1771685131188000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685131244000,1771685131086000,1771685131244000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685131292000,1771685131138000,1771685131292000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685131348000,1771685131190000,1771685131348000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685131396000,1771685131242000,1771685131396000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685131452000,1771685131294000,1771685131452000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685131500000,1771685131346000,1771685131500000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685131556000,1771685131398000,1771685131556000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685131604000,1771685131450000,1771685131604000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685131660000,1771685131502000,1771685131660000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685131708000,1771685131554000,1771685131708000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685131764000,1771685131606000,1771685131764000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685131812000,1771685131658000,1771685131812000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685131868000,1771685131710000,1771685131868000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685131916000,1771685131762000,1771685131916000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685131972000,1771685131814000,1771685131972000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685132020000,1771685131866000,1771685132020000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685132076000,1771685131918000,1771685132076000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685132124000,1771685131970000,1771685132124000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685132180000,1771685132022000,1771685132180000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685132228000,1771685132074000,1771685132228000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685132284000,1771685132126000,1771685132284000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685132332000,1771685132178000,1771685132332000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685132388000,1771685132230000,1771685132388000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685132436000,1771685132282000,1771685132436000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685132492000,1771685132334000,1771685132492000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685132540000,1771685132386000,1771685132540000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685132596000,1771685132438000,1771685132596000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685132644000,1771685132490000,1771685132644000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685132700000,1771685132542000,1771685132700000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685132748000,1771685132594000,1771685132748000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685132804000,1771685132646000,1771685132804000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685132852000,1771685132698000,1771685132852000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685132908000,1771685132750000,1771685132908000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685132956000,1771685132802000,1771685132956000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685133012000,1771685132854000,1771685133012000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685133060000,1771685132906000,1771685133060000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685133116000,1771685132958000,1771685133116000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685133164000,1771685133010000,1771685133164000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685133220000,1771685133062000,1771685133220000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685133268000,1771685133114000,1771685133268000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685133324000,1771685133166000,1771685133324000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685133372000,1771685133218000,1771685133372000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685133428000,1771685133270000,1771685133428000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685133476000,1771685133322000,1771685133476000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685133532000,1771685133374000,1771685133532000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685133580000,1771685133426000,1771685133580000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685133636000,1771685133478000,1771685133636000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685133684000,1771685133530000,1771685133684000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685133740000,1771685133582000,1771685133740000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
1771685133788000,1771685133634000,1771685133788000,0.0005197711,0.001346018,0.0,160,1,0,0,0,0,0,0,0,0,0,0,0
