timestamp,pub_timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,publisher_id,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
1771685123040000,1771685123040000,1771685123040000,1310988,1310988,-2.0240024e-05,2.024e-05,3.408848e-05,-9.576807e-06,-5.267176e-05,-0.039121255,4000,4000,126,0,0,0,1
1771685123044000,1771685123044000,1771685123044000,1310988,1310988,-1.597897e-05,1.8109502e-05,2.8762137e-05,1.436521e-05,-4.7883357e-05,-0.03910689,4000,4000,126,0,0,0,1
1771685123048000,1771685123048000,1771685123048000,1310988,1310988,-3.0892697e-05,2.343577e-05,1.9174775e-05,5.267244e-05,6.828783e-10,-0.039126046,4000,4000,126,0,0,0,1
1771685123052000,1771685123052000,1771685123052000,1310988,1310988,-3.408844e-05,6.391579e-06,1.810955e-05,0.00018674774,-8.140218e-05,-0.03904464,4000,4000,126,0,0,0,1
1771685123056000,1771685123056000,1771685123056000,1310988,1310988,-5.326285e-06,-7.4567215e-06,4.9002196e-05,0.0001628057,-8.619058e-05,-0.039164353,4000,4000,126,0,0,0,1
1771685123060000,1771685123060000,1771685123060000,1310988,1310988,5.3262224e-06,1.7044276e-05,4.9002167e-05,9.097967e-05,-9.57612e-06,-0.03935589,4000,4000,126,0,0,0,1
1771685123064000,1771685123064000,1771685123064000,1310988,1310988,2.1304213e-06,3.1957938e-05,1.5978978e-05,5.2672436e-05,-7.6613775e-05,-0.03933195,4000,4000,126,0,0,0,1
1771685123068000,1771685123068000,1771685123068000,1310988,1310988,-1.0653029e-06,3.30232e-05,2.1305382e-06,-7.182605e-05,-0.00014843984,-0.039293643,4000,4000,126,0,0,0,1
1771685123072000,1771685123072000,1771685123072000,1310988,1310988,-1.597897e-05,2.024002e-05,4.2529556e-11,-0.00010534488,-0.00021547747,-0.039274484,4000,4000,126,0,0,0,1
1771685123076000,1771685123076000,1771685123076000,1310988,1310988,-2.9827428e-05,-1.0652662e-05,-1.278311e-05,-2.873042e-05,-0.00023941949,-0.03919787,4000,4000,126,0,0,0,1
1771685123080000,1771685123080000,1771685123080000,1310988,1310988,-2.6631596e-05,-4.26109e-06,-2.4501096e-05,-5.267244e-05,-3.8306538e-05,-0.03917872,4000,4000,126,0,0,0,1
1771685123084000,1771685123084000,1771685123084000,1310988,1310988,-3.1957898e-05,1.7044275e-05,-1.0652693e-05,-0.00012449849,6.703834e-05,-0.039188296,4000,4000,126,0,0,0,1
1771685123088000,1771685123088000,1771685123088000,1310988,1310988,-5.0067447e-05,3.19581e-06,-1.0652581e-05,-0.00016759412,-3.3518136e-05,-0.03931758,4000,4000,126,0,0,0,1
1771685123092000,1771685123092000,1771685123092000,1310988,1310988,-2.4501109e-05,-2.2370625e-05,-2.2370456e-05,-0.00011971009,-4.7883346e-05,-0.039528273,4000,4000,126,0,0,0,1
1771685123096000,1771685123096000,1771685123096000,1310988,1310988,-3.177408e-11,-2.4501098e-05,-7.4568015e-06,4.3095635e-05,2.8731109e-05,-0.03934631,4000,4000,126,0,0,0,1
1771685123100000,1771685123100000,1771685123100000,1310988,1310988,-9.58742e-06,-3.4088458e-05,9.587359e-06,0.0001388637,2.39427e-05,-0.03909252,4000,4000,126,0,0,0,1
1771685123104000,1771685123104000,1771685123104000,1310988,1310988,-1.1717876e-05,-4.261059e-05,1.28282394e-14,0.0001340753,-0.00012928621,-0.039250545,4000,4000,126,0,0,0,1
1771685123108000,1771685123108000,1771685123108000,1310988,1310988,-1.597891e-05,-2.5566365e-05,-1.5978998e-05,9.576807e-05,-0.00035912957,-0.039375044,4000,4000,126,0,0,0,1
1771685123112000,1771685123112000,1771685123112000,1310988,1310988,-5.326308e-06,-1.4913717e-05,-1.5978958e-05,0.00010534488,-0.0003447644,-0.039293643,4000,4000,126,0,0,0,1
1771685123116000,1771685123116000,1771685123116000,1310988,1310988,1.4913726e-05,-2.1305575e-06,-2.0240004e-05,0.00016759412,-9.576128e-06,-0.039226603,4000,4000,126,0,0,0,1
1771685123120000,1771685123120000,1771685123120000,1310988,1310988,-1.0652938e-06,-2.0239988e-05,-2.7696902e-05,0.00011971009,0.00012928758,-0.039221812,4000,4000,126,0,0,0,1
1771685123124000,1771685123124000,1771685123124000,1310988,1310988,-4.9002185e-05,-3.6218884e-05,-3.83496e-05,5.746084e-05,-0.00011970941,-0.039284058,4000,4000,126,0,0,0,1
1771685123128000,1771685123128000,1771685123128000,1310988,1310988,-5.2197815e-05,3.1957784e-06,-4.474128e-05,8.619127e-05,-0.00033039917,-0.039336737,4000,4000,126,0,0,0,1
1771685123132000,1771685123132000,1771685123132000,1310988,1310988,-1.3848415e-05,7.4568297e-06,-1.7044262e-05,6.2249244e-05,-0.00030645714,-0.03931758,4000,4000,126,0,0,0,1
1771685123136000,1771685123136000,1771685123136000,1310988,1310988,-1.0652723e-06,-1.3848415e-05,1.9174775e-05,3.830723e-05,-0.00032561072,-0.03917872,4000,4000,126,0,0,0,1
1771685123140000,1771685123140000,1771685123140000,1310988,1310988,5.3263248e-06,-1.5978956e-05,2.0240032e-05,8.619126e-05,-0.00032082235,-0.039164353,4000,4000,126,0,0,0,1
1771685123144000,1771685123144000,1771685123144000,1310988,1310988,1.171795e-05,-1.5978943e-05,-9.587372e-06,0.0001388637,-0.00019632383,-0.039207444,4000,4000,126,0,0,0,1
1771685123148000,1771685123148000,1771685123148000,1310988,1310988,2.9788196e-11,2.1305299e-05,-9.587359e-06,0.00017717094,-0.00019153545,-0.039082948,4000,4000,126,0,0,0,1
1771685123152000,1771685123152000,1771685123152000,1310988,1310988,-1.4913603e-05,6.498115e-05,2.6631642e-05,0.00022026656,-0.00022984267,-0.03908774,4000,4000,126,0,0,0,1
1771685123156000,1771685123156000,1771685123156000,1310988,1310988,-2.1305244e-05,6.2850595e-05,3.40885e-05,8.619126e-05,-0.00014365141,-0.039274484,4000,4000,126,0,0,0,1
1771685123160000,1771685123160000,1771685123160000,1310988,1310988,-2.2370601e-05,1.5978903e-05,8.907609e-11,-0.00011492168,-5.7460154e-05,-0.03933195,4000,4000,126,0,0,0,1
1771685123164000,1771685123164000,1771685123164000,1310988,1310988,-4.261092e-06,-4.04801e-05,-2.5566265e-05,-9.097967e-05,-5.7460154e-05,-0.039236177,4000,4000,126,0,0,0,1
1771685123168000,1771685123168000,1771685123168000,1310988,1310988,2.4501076e-05,-2.7696937e-05,-1.4913611e-05,-0.0001388637,-0.0001244978,-0.039135624,4000,4000,126,0,0,0,1
1771685123172000,1771685123172000,1771685123172000,1310988,1310988,5.1132745e-05,2.023998e-05,-9.587221e-06,-0.00017717094,-0.0002585731,-0.03909252,4000,4000,126,0,0,0,1
1771685123176000,1771685123176000,1771685123176000,1310988,1310988,3.5153706e-05,1.3848482e-05,-1.7044233e-05,-8.140285e-05,-0.00030166874,-0.039130826,4000,4000,126,0,0,0,1
