timestamp,pub_timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags,publisher_id
1771685729276000,1771685729276000,1771685729276000,0.5103422,0.51562995,0.5120947,0.51321965,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729280000,1771685729280000,1771685729280000,0.5115539,0.5143932,0.5114909,0.5138485,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729284000,1771685729284000,1771685729284000,0.51265544,0.5130174,0.5105569,0.51451385,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729288000,1771685729288000,1771685729288000,0.51616395,0.50957984,0.51178837,0.5132114,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729292000,1771685729292000,1771685729292000,0.51943547,0.5072414,0.51446855,0.51137674,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729296000,1771685729296000,1771685729296000,0.5193486,0.50728303,0.51563513,0.5102554,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729300000,1771685729300000,1771685729300000,0.5180042,0.50820243,0.51634604,0.50928956,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729304000,1771685729304000,1771685729304000,0.51565945,0.5105163,0.516237,0.50942945,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729308000,1771685729308000,1771685729308000,0.5117527,0.5141434,0.51423335,0.511074,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729312000,1771685729312000,1771685729312000,0.50951463,0.51642424,0.5122486,0.51301605,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729316000,1771685729316000,1771685729316000,0.51265055,0.52048457,0.51434803,0.5180889,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729320000,1771685729320000,1771685729320000,0.5126189,0.5204641,0.51442397,0.51806504,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729324000,1771685729324000,1771685729324000,0.5124305,0.51989007,0.5166267,0.51539403,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729328000,1771685729328000,1771685729328000,0.5124412,0.51970196,0.5181773,0.51402086,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729332000,1771685729332000,1771685729332000,0.5142351,0.5184804,0.5174798,0.51548475,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729336000,1771685729336000,1771685729336000,0.5167456,0.51596516,0.5159038,0.51706547,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729340000,1771685729340000,1771685729340000,0.5171677,0.5147258,0.5147953,0.5173888,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729344000,1771685729344000,1771685729344000,0.51700646,0.51481336,0.51446474,0.51779306,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729348000,1771685729348000,1771685729348000,0.5169887,0.51414824,0.51495767,0.5167306,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729352000,1771685729352000,1771685729352000,0.51771736,0.51338947,0.51639324,0.5153251,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729356000,1771685729356000,1771685729356000,0.5226056,0.5155939,0.5205446,0.51831186,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729360000,1771685729360000,1771685729360000,0.523608,0.5145534,0.5208999,0.5179946,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729364000,1771685729364000,1771685729364000,0.5229251,0.51447326,0.52223164,0.5160381,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729368000,1771685729368000,1771685729368000,0.5215109,0.51586777,0.52431464,0.5139748,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729372000,1771685729372000,1771685729372000,0.5192764,0.5188854,0.5245359,0.51444316,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729376000,1771685729376000,1771685729376000,0.5165001,0.5217168,0.5209667,0.5179572,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729380000,1771685729380000,1771685729380000,0.51483727,0.5225869,0.5173945,0.5206938,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729384000,1771685729384000,1771685729384000,0.5153988,0.52198106,0.5182067,0.51992583,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729388000,1771685729388000,1771685729388000,0.5168568,0.5194738,0.5182133,0.5189656,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729392000,1771685729392000,1771685729392000,0.51735497,0.51900065,0.5162459,0.52090794,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729396000,1771685729396000,1771685729396000,0.5201532,0.5234127,0.51914823,0.52502483,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729400000,1771685729400000,1771685729400000,0.521215,0.5224329,0.5202629,0.52382815,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729404000,1771685729404000,1771685729404000,0.52255905,0.5198673,0.52170074,0.521258,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729408000,1771685729408000,1771685729408000,0.52267164,0.5196034,0.52374786,0.5193622,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729412000,1771685729412000,1771685729412000,0.52217734,0.52024806,0.52584106,0.5176839,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729416000,1771685729416000,1771685729416000,0.52282673,0.519581,0.52657187,0.51697075,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729420000,1771685729420000,1771685729420000,0.52300406,0.5183318,0.52431965,0.517965,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729424000,1771685729424000,1771685729424000,0.5228791,0.5185568,0.5215244,0.5206602,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729428000,1771685729428000,1771685729428000,0.52247924,0.5177274,0.52001566,0.5208756,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729432000,1771685729432000,1771685729432000,0.52100253,0.5191591,0.5194743,0.5214619,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729436000,1771685729436000,1771685729436000,0.54742914,0.55066466,0.5471881,0.55182874,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729440000,1771685729440000,1771685729440000,0.54688424,0.5511478,0.5480908,0.5509878,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729444000,1771685729444000,1771685729444000,0.5474051,0.5491509,0.5494565,0.54821354,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729448000,1771685729448000,1771685729448000,0.54796755,0.54862756,0.54910356,0.54852736,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729452000,1771685729452000,1771685729452000,0.5475469,0.5493252,0.5478375,0.54990906,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729456000,1771685729456000,1771685729456000,0.54676574,0.55015755,0.5467584,0.550937,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729460000,1771685729460000,1771685729460000,0.54633564,0.54891694,0.54575735,0.55020344,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729464000,1771685729464000,1771685729464000,0.54843205,0.54684,0.5477727,0.5481686,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729468000,1771685729468000,1771685729468000,0.54800826,0.54443747,0.5490883,0.5441392,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729472000,1771685729472000,1771685729472000,0.5470232,0.54527104,0.5503301,0.5430489,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729476000,1771685729476000,1771685729476000,0.5485521,0.5492277,0.5530019,0.54619974,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729480000,1771685729480000,1771685729480000,0.5476749,0.54999626,0.5525131,0.54679716,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729484000,1771685729484000,1771685729484000,0.5464041,0.5481926,0.55069983,0.5456488,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729488000,1771685729488000,1771685729488000,0.5476081,0.54698163,0.5492228,0.54713285,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729492000,1771685729492000,1771685729492000,0.54825604,0.5450446,0.5462956,0.5486355,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729496000,1771685729496000,1771685729496000,0.5481654,0.54526126,0.54564166,0.5491634,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729500000,1771685729500000,1771685729500000,0.5456787,0.5447641,0.54496306,0.5465879,nan,nan,nan,nan,nan,nan,nan,nan,0,27
