timestamp,pub_timestamp,publisher_id,geofence_max_dist_triggered,geofence_max_alt_triggered,geofence_custom_fence_triggered,geofence_action
1771685446132000,1771685446132000,96,0,0,0,2
1771685446380000,1771685446380000,96,0,0,0,2
1771685446628000,1771685446628000,96,0,0,0,2
1771685446836000,1771685446836000,96,0,0,0,2
1771685447092000,1771685447092000,96,0,0,0,2
1771685447340000,1771685447340000,96,0,0,0,2
1771685447588000,1771685447588000,96,0,0,0,2
1771685447796000,1771685447796000,96,0,0,0,2
1771685448044000,1771685448044000,96,0,0,0,2
1771685448300000,1771685448300000,96,0,0,0,2
1771685448548000,1771685448548000,96,0,0,0,2
1771685448756000,1771685448756000,96,0,0,0,2
1771685449004000,1771685449004000,96,0,0,0,2
1771685449252000,1771685449252000,96,0,0,0,2
1771685449508000,1771685449508000,96,0,0,0,2
1771685449716000,1771685449716000,96,0,0,0,2
1771685449964000,1771685449964000,96,0,0,0,2
1771685450212000,1771685450212000,96,0,0,0,2
1771685450460000,1771685450460000,96,0,0,0,2
1771685450668000,1771685450668000,96,0,0,0,2
1771685450924000,1771685450924000,96,0,0,0,2
1771685451172000,1771685451172000,96,0,0,0,2
1771685451420000,1771685451420000,96,0,0,0,2
1771685451668000,1771685451668000,96,0,0,0,2
1771685451876000,1771685451876000,96,0,0,0,2
1771685452132000,1771685452132000,96,0,0,0,2
1771685452380000,1771685452380000,96,0,0,0,2
1771685452628000,1771685452628000,96,0,0,0,2
1771685452836000,1771685452836000,96,0,0,0,2
1771685453084000,1771685453084000,96,0,0,0,2
1771685453340000,1771685453340000,96,0,0,0,2
1771685453588000,1771685453588000,96,0,0,0,2
1771685453796000,1771685453796000,96,0,0,0,2
1771685454044000,1771685454044000,96,0,0,0,2
1771685454292000,1771685454292000,96,0,0,0,2
1771685454548000,1771685454548000,96,0,0,0,2
1771685454756000,1771685454756000,96,0,0,0,2
1771685455004000,1771685455004000,96,0,0,0,2
1771685455252000,1771685455252000,96,0,0,0,2
1771685455500000,1771685455500000,96,0,0,0,2
1771685455708000,1771685455708000,96,0,0,0,2
1771685455964000,1771685455964000,96,0,0,0,2
1771685456212000,1771685456212000,96,0,0,0,2
1771685456460000,1771685456460000,96,0,0,0,2
1771685456708000,1771685456708000,96,0,0,0,2
1771685456916000,1771685456916000,96,0,0,0,2
