timestamp,pub_timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_pressure_pa,ambient_temperature,rho,publisher_id,temperature_source,calibration_count
1771685338828000,1771685338828000,1771685338804000,6620172,499.29102,95469.91,15.0,1.1540235,126,0,1
1771685338880000,1771685338880000,1771685338856000,6620172,499.44595,95468.09,15.0,1.1540016,126,0,1
1771685338932000,1771685338932000,1771685338908000,6620172,499.58682,95466.5,15.0,1.1539824,126,0,1
1771685338984000,1771685338984000,1771685338960000,6620172,499.72766,95464.87,15.0,1.1539626,126,0,1
1771685339036000,1771685339036000,1771685339012000,6620172,499.8685,95463.266,15.0,1.1539433,126,0,1
1771685339088000,1771685339088000,1771685339064000,6620172,499.99057,95461.88,15.0,1.1539266,126,0,1
1771685339140000,1771685339140000,1771685339116000,6620172,500.13144,95460.266,15.0,1.1539071,126,0,1
1771685339192000,1771685339192000,1771685339168000,6620172,500.338,95457.93,15.0,1.1538788,126,0,1
1771685339244000,1771685339244000,1771685339220000,6620172,500.46008,95456.5,15.0,1.1538615,126,0,1
1771685339296000,1771685339296000,1771685339272000,6620172,500.61972,95454.695,15.0,1.1538397,126,0,1
1771685339348000,1771685339348000,1771685339324000,6620172,500.80283,95452.58,15.0,1.1538141,126,0,1
1771685339400000,1771685339400000,1771685339376000,6620172,500.97183,95450.664,15.0,1.153791,126,0,1
1771685339452000,1771685339452000,1771685339428000,6620172,501.08453,95449.336,15.0,1.1537749,126,0,1
1771685339504000,1771685339504000,1771685339480000,6620172,501.23947,95447.58,15.0,1.1537536,126,0,1
1771685339556000,1771685339556000,1771685339532000,6620172,501.3897,95445.86,15.0,1.1537329,126,0,1
1771685339608000,1771685339608000,1771685339584000,6620172,501.53055,95444.266,15.0,1.1537136,126,0,1
1771685339660000,1771685339660000,1771685339636000,6620172,501.71365,95442.12,15.0,1.1536876,126,0,1
1771685339712000,1771685339712000,1771685339688000,6620172,501.83572,95440.74,15.0,1.153671,126,0,1
1771685339764000,1771685339764000,1771685339740000,6620172,502.0376,95438.484,15.0,1.1536437,126,0,1
1771685339816000,1771685339816000,1771685339792000,6620172,502.18784,95436.766,15.0,1.153623,126,0,1
1771685339868000,1771685339868000,1771685339844000,6620172,502.3287,95435.13,15.0,1.1536032,126,0,1
1771685339920000,1771685339920000,1771685339896000,6620172,502.54468,95432.664,15.0,1.1535734,126,0,1
1771685339972000,1771685339972000,1771685339948000,6620172,502.65735,95431.34,15.0,1.1535574,126,0,1
1771685340024000,1771685340024000,1771685340000000,6620172,502.77002,95430.08,15.0,1.1535422,126,0,1
1771685340076000,1771685340076000,1771685340052000,6620172,502.96252,95427.87,15.0,1.1535153,126,0,1
1771685340128000,1771685340128000,1771685340104000,6620172,503.1644,95425.54,15.0,1.1534872,126,0,1
1771685340180000,1771685340180000,1771685340156000,6620172,503.25363,95424.54,15.0,1.1534752,126,0,1
